match_id,team,score,detailed_score
ODI no. 4021,Pakistan,364/4,"364/4 (50 Overs, RR: 7.28)"
ODI no. 4021,Zimbabwe,233/4 ,"233/4 (50 Overs, RR: 4.66)"
ODI no. 4032,Afghanistan,227/9,"227/9 (50 Overs, RR: 4.54)"
ODI no. 4032,Ireland,198 ,"198 all out (48.3 Overs, RR: 4.08)"
ODI no. 4033,Afghanistan,182/9,"182/9 (50 Overs, RR: 3.64)"
ODI no. 4033,Ireland,183/7 ,"183/7 (43.5 Overs, RR: 4.17)"
ODI no. 4035,Ireland,124,"124 all out (36.1 Overs, RR: 3.42)"
ODI no. 4035,Afghanistan,127/2 ,"127/2 (23.5 Overs, RR: 5.32)"
ODI no. 4037,Hong Kong,116,"116 all out (37.1 Overs, RR: 3.12)"
ODI no. 4037,Pakistan,120/2 ,"120/2 (23.4 Overs, RR: 5.07)"
ODI no. 4039,India,285/7,"285/7 (50 Overs, RR: 5.7)"
ODI no. 4039,Hong Kong,259/8 ,"259/8 (50 Overs, RR: 5.18)"
ODI no. 4049,Zimbabwe,117,"117 all out (34.1 Overs, RR: 3.42)"
ODI no. 4049,South Africa,119/5 ,"119/5 (26.1 Overs, RR: 4.42)"
ODI no. 4050,South Africa,198,"198 all out (47.3 Overs, RR: 4.16)"
ODI no. 4050,Zimbabwe,78 ,"78 all out (24 Overs, RR: 3.25)"
ODI no. 4051,Zimbabwe,228,"228 all out (49.3 Overs, RR: 4.6)"
ODI no. 4051,South Africa,231/6 ,"231/6 (45.5 Overs, RR: 5.04)"
ODI no. 4057,Bangladesh,271/8,"271/8 (50 Overs, RR: 5.42)"
ODI no. 4057,Zimbabwe,243/9 ,"243/9 (50 Overs, RR: 4.86)"
ODI no. 4060,Zimbabwe,246/7,"246/7 (50 Overs, RR: 4.92)"
ODI no. 4060,Bangladesh,250/3 ,"250/3 (44.1 Overs, RR: 5.66)"
ODI no. 4061,Zimbabwe,286/5,"286/5 (50 Overs, RR: 5.72)"
ODI no. 4061,Bangladesh,288/3 ,"288/3 (42.1 Overs, RR: 6.83)"
ODI no. 4100,Ireland,161,"161 all out (49.2 Overs, RR: 3.26)"
ODI no. 4100,Afghanistan,165/5 ,"165/5 (41.5 Overs, RR: 3.94)"
ODI no. 4101,Afghanistan,,
ODI no. 4101,Ireland,,
ODI no. 4105,Afghanistan,256/8,"256/8 (50 Overs, RR: 5.12)"
ODI no. 4105,Ireland,260/6 ,"260/6 (49 Overs, RR: 5.3)"
ODI no. 4108,Afghanistan,223,"223 all out (49.1 Overs, RR: 4.53)"
ODI no. 4108,Ireland,114 ,"114 all out (35.3 Overs, RR: 3.21)"
ODI no. 4110,Afghanistan,216/6,"216/6 (50 Overs, RR: 4.32)"
ODI no. 4110,Ireland,219/5 ,"219/5 (47.2 Overs, RR: 4.62)"
ODI no. 4127,Ireland,198,"198 all out (43.1 Overs, RR: 4.58)"
ODI no. 4127,England,199/6 ,"199/6 (42 Overs, RR: 4.73)"
ODI no. 4128,West Indies,381/3,"381/3 (50 Overs, RR: 7.62)"
ODI no. 4128,Ireland,185 ,"185 all out (34.4 Overs, RR: 5.33)"
ODI no. 4131,Scotland,325/7,"325/7 (50 Overs, RR: 6.5)"
ODI no. 4131,Afghanistan,269/3 ,"269/3 (44.5 Overs, RR: 6.0)"
ODI no. 4132,Ireland,327/5,"327/5 (50 Overs, RR: 6.54)"
ODI no. 4132,West Indies,331/5 ,"331/5 (47.5 Overs, RR: 6.91)"
ODI no. 4136,Ireland,292/8,"292/8 (50 Overs, RR: 5.84)"
ODI no. 4136,Bangladesh,294/4 ,"294/4 (43 Overs, RR: 6.83)"
ODI no. 4139,Ireland,210,"210 all out (48.5 Overs, RR: 4.3)"
ODI no. 4139,Afghanistan,138 ,"138 all out (35.4 Overs, RR: 3.86)"
