match_id,team,score,detailed_score
ODI no. 3518,South Africa,231,"231 all out (49.5 Overs, RR: 4.63)"
ODI no. 3518,Zimbabwe,170 ,"170 all out (38.3 Overs, RR: 4.41)"
ODI no. 3521,Australia,209/9,"209/9 (50 Overs, RR: 4.18)"
ODI no. 3521,Zimbabwe,211/7 ,"211/7 (48 Overs, RR: 4.39)"
ODI no. 3524,South Africa,271/6,"271/6 (50 Overs, RR: 5.42)"
ODI no. 3524,Zimbabwe,208 ,"208 all out (47.2 Overs, RR: 4.39)"
ODI no. 3550,Bangladesh,281/7,"281/7 (50 Overs, RR: 5.62)"
ODI no. 3550,Zimbabwe,194 ,"194 all out (42.1 Overs, RR: 4.6)"
ODI no. 3552,Bangladesh,251/7,"251/7 (50 Overs, RR: 5.02)"
ODI no. 3552,Zimbabwe,183 ,"183 all out (44.5 Overs, RR: 4.08)"
ODI no. 3553,Bangladesh,297/6,"297/6 (50 Overs, RR: 5.94)"
ODI no. 3553,Zimbabwe,173 ,"173 all out (39.5 Overs, RR: 4.34)"
ODI no. 3555,Bangladesh,256/8,"256/8 (50 Overs, RR: 5.12)"
ODI no. 3555,Zimbabwe,235/8 ,"235/8 (50 Overs, RR: 4.7)"
ODI no. 3556,Afghanistan,248/6,"248/6 (50 Overs, RR: 4.96)"
ODI no. 3556,United Arab Emirates,249/5 ,"249/5 (48.4 Overs, RR: 5.11)"
ODI no. 3558,Afghanistan,280/8,"280/8 (50 Overs, RR: 5.6)"
ODI no. 3558,United Arab Emirates,282/4 ,"282/4 (48.2 Overs, RR: 5.83)"
ODI no. 3559,Zimbabwe,128,"128 all out (30 Overs, RR: 4.26)"
ODI no. 3559,Bangladesh,130/5 ,"130/5 (24.3 Overs, RR: 5.3)"
ODI no. 3560,United Arab Emirates,273/5,"273/5 (50 Overs, RR: 5.46)"
ODI no. 3560,Afghanistan,276/8 ,"276/8 (49.4 Overs, RR: 5.55)"
ODI no. 3562,United Arab Emirates,258/9,"258/9 (50 Overs, RR: 5.16)"
ODI no. 3562,Afghanistan,228 ,"228 all out (49.3 Overs, RR: 4.6)"
ODI no. 3572,Scotland,237/8,"237/8 (45 Overs, RR: 5.26)"
ODI no. 3572,Afghanistan,240/2 ,"240/2 (38 Overs, RR: 6.31)"
ODI no. 3573,Afghanistan,180,"180 all out (44.2 Overs, RR: 4.06)"
ODI no. 3573,Ireland,181/7 ,"181/7 (43.2 Overs, RR: 4.17)"
ODI no. 3576,Scotland,213/7,"213/7 (50 Overs, RR: 4.26)"
ODI no. 3576,Afghanistan,63 ,"63 all out (18.3 Overs, RR: 3.4)"
ODI no. 3581,Afghanistan,246/8,"246/8 (50 Overs, RR: 4.92)"
ODI no. 3581,Ireland,175 ,"175 all out (43.3 Overs, RR: 4.02)"
ODI no. 3601,South Africa,339/4,"339/4 (50 Overs, RR: 6.78)"
ODI no. 3601,Zimbabwe,277 ,"277 all out (48.2 Overs, RR: 5.73)"
ODI no. 3603,West Indies,304/7,"304/7 (50 Overs, RR: 6.08)"
ODI no. 3603,Ireland,307/6 ,"307/6 (45.5 Overs, RR: 6.69)"
ODI no. 3604,Scotland,142,"142 all out (36.2 Overs, RR: 3.9)"
ODI no. 3604,New Zealand,146/7 ,"146/7 (24.5 Overs, RR: 5.87)"
ODI no. 3611,England,303/8,"303/8 (50 Overs, RR: 6.06)"
ODI no. 3611,Scotland,184 ,"184 all out (42.2 Overs, RR: 4.34)"
ODI no. 3612,West Indies,372/2,"372/2 (50 Overs, RR: 7.44)"
ODI no. 3612,Zimbabwe,289 ,"289 all out (44.3 Overs, RR: 6.49)"
