match_id,start_date,team1,team2,ground,result
3426,2013-10-31,Newzealad,Bangladesh,Dhaka,Bangladesh
3427,2013-11-01,SouthAfrica,Pakistan,Dubai (DSC),Pakistan
3428,2013-11-02,India,Australia,Bengaluru,India
3429,2013-11-03,Newzealad,Bangladesh,Fatullah,Bangladesh
3430,2013-11-06,SouthAfrica,Pakistan,Abu Dhabi,SouthAfrica
3431,2013-11-08,SouthAfrica,Pakistan,Abu Dhabi,SouthAfrica
3432,2013-11-10,SriLanka,New Zealand,Hambantota,n/r
3433,2013-11-11,SouthAfrica,Pakistan,Sharjah,SouthAfrica
3434,2013-11-12,SriLanka,New Zealand,Hambantota,New Zealand
3435,2013-11-16,SriLanka,New Zealand,Dambulla,SriLanka
3436,2013-11-21,WestIndies,India,Kochi,India
3437,2013-11-24,WestIndies,India,Visakhapatnam,WestIndies
3438,2013-11-24,SouthAfrica,Pakistan,Cape Town,Pakistan
3439,2013-11-27,WestIndies,India,Kanpur,India
3440,2013-11-27,SouthAfrica,Pakistan,Port Elizabeth,Pakistan
3441,2013-11-30,SouthAfrica,Pakistan,Centurion,SouthAfrica
3442,2013-12-05,SouthAfrica,India,Johannesburg,SouthAfrica
3443,2013-12-08,SouthAfrica,India,Durban,SouthAfrica
3444,2013-12-11,SouthAfrica,India,Centurion,n/r
3445,2013-12-18,SriLanka,Pakistan,Sharjah,Pakistan
3446,2013-12-20,SriLanka,Pakistan,Dubai (DSC),SriLanka
3447,2013-12-22,SriLanka,Pakistan,Sharjah,Pakistan
3448,2013-12-25,SriLanka,Pakistan,Abu Dhabi,Pakistan
3449,2013-12-26,WestIndies,New Zealand,Auckland,WestIndies
3450,2013-12-27,SriLanka,Pakistan,Abu Dhabi,SriLanka
3450,2013-12-29,WestIndies,New Zealand,Napier,n/r
3451,2014-01-01,WestIndies,New Zealand,Queenstown,New Zealand
3452,2014-01-04,WestIndies,New Zealand,Nelson,New Zealand
3453,2014-01-08,WestIndies,New Zealand,Hamilton,WestIndies
3454,2014-01-12,England,Australia,Melbourne,Australia
3455,2014-01-17,England,Australia,Brisbane,Australia
3456,2014-01-19,Newzealad,India,Napier,Newzealad
3457,2014-01-19,England,Australia,Sydney,Australia
3458,2014-01-22,Newzealad,India,Hamilton,Newzealad
3461,2014-01-24,England,Australia,Perth,England
3462,2014-01-25,Newzealad,India,Auckland,tied
3463,2014-01-26,England,Australia,Adelaide,Australia
3465,2014-01-28,Newzealad,India,Hamilton,Newzealad
3467,2014-01-31,Newzealad,India,Wellington,Newzealad
3469,2014-02-17,SriLanka,Bangladesh,Dhaka,SriLanka
3470,2014-02-20,SriLanka,Bangladesh,Dhaka,SriLanka
3471,2014-02-22,SriLanka,Bangladesh,Dhaka,SriLanka
3472,2014-02-23,WestIndies,Ireland,Kingston,WestIndies
3473,2014-02-25,SriLanka,Pakistan,Fatullah,SriLanka
3474,2014-02-26,India,Bangladesh,Fatullah,India
3475,2014-02-27,Pakistan,Afghanistan,Fatullah,Pakistan
3476,2014-02-28,SriLanka,India,Fatullah,SriLanka
3477,2014-02-28,WestIndies,England,North Sound,WestIndies
3478,2014-03-01,Bangladesh,Afghanistan,Fatullah,Afghanistan
3479,2014-03-02,Pakistan,India,Dhaka,Pakistan
3480,2014-03-02,WestIndies,England,North Sound,England
3481,2014-03-03,SriLanka,Afghanistan,Dhaka,SriLanka
3482,2014-03-04,Pakistan,Bangladesh,Dhaka,Pakistan
3483,2014-03-05,India,Afghanistan,Dhaka,India
3484,2014-03-05,WestIndies,England,North Sound,England
3485,2014-03-06,SriLanka,Bangladesh,Dhaka,SriLanka
3486,2014-03-08,SriLanka,Pakistan,Dhaka,SriLanka
3487,2014-05-01,Afghanistan,Hong Kong,Kuala Lumpur,Afghanistan
3488,2014-05-02,Afghanistan,U.A.E.,Kuala Lumpur,Afghanistan
3490,2014-05-06,SriLanka,Ireland,Dublin,SriLanka
3490,2014-05-08,SriLanka,Ireland,Dublin,n/r
3491,2014-05-09,England,Scotland,Aberdeen,England
3492,2014-05-22,SriLanka,England,The Oval,England
3493,2014-05-25,SriLanka,England,Chester-le-Street,SriLanka
3494,2014-05-28,SriLanka,England,Manchester,England
3495,2014-05-31,SriLanka,England,Lord's,SriLanka
3496,2014-06-03,SriLanka,England,Birmingham,SriLanka
3497,2014-06-15,India,Bangladesh,Dhaka,India
3498,2014-06-17,India,Bangladesh,Dhaka,India
3499,2014-06-19,India,Bangladesh,Dhaka,n/r
3500,2014-07-06,SriLanka,South Africa,Colombo (RPS),South Africa
3501,2014-07-09,SriLanka,South Africa,Pallekele,SriLanka
3502,2014-07-12,SriLanka,South Africa,Hambantota,South Africa
3503,2014-07-18,Afghanistan,Zimbabwe,Bulawayo,Zimbabwe
3504,2014-07-20,Afghanistan,Zimbabwe,Bulawayo,Zimbabwe
3505,2014-07-22,Afghanistan,Zimbabwe,Bulawayo,Afghanistan
3506,2014-07-24,Afghanistan,Zimbabwe,Bulawayo,Afghanistan
3507,2014-08-17,SouthAfrica,Zimbabwe,Bulawayo,SouthAfrica
3508,2014-08-19,SouthAfrica,Zimbabwe,Bulawayo,SouthAfrica
3509,2014-08-20,WestIndies,Bangladesh,St George's,WestIndies
3510,2014-08-21,SouthAfrica,Zimbabwe,Bulawayo,SouthAfrica
3511,2014-08-22,WestIndies,Bangladesh,St George's,WestIndies
3512,2014-08-23,SriLanka,Pakistan,Hambantota,Pakistan
3513,2014-08-25,Australia,Zimbabwe,Harare,Australia
3513,2014-08-25,India,England,Bristol,n/r
3514,2014-08-25,WestIndies,Bangladesh,Basseterre,WestIndies
3515,2014-08-26,SriLanka,Pakistan,Hambantota,SriLanka
3516,2014-08-27,SouthAfrica,Australia,Harare,SouthAfrica
3517,2014-08-27,India,England,Cardiff,India
3518,2014-08-29,SouthAfrica,Zimbabwe,Harare,SouthAfrica
3519,2014-08-30,SriLanka,Pakistan,Dambulla,SriLanka
3520,2014-08-30,India,England,Nottingham,India
3521,2014-08-31,Australia,Zimbabwe,Harare,Zimbabwe
3522,2014-09-02,SouthAfrica,Australia,Harare,Australia
3523,2014-09-02,India,England,Birmingham,India
3524,2014-09-04,SouthAfrica,Zimbabwe,Harare,SouthAfrica
3525,2014-09-05,India,England,Leeds,England
3526,2014-09-06,SouthAfrica,Australia,Harare,SouthAfrica
3530,2014-10-07,Pakistan,Australia,Sharjah,Australia
3531,2014-10-08,WestIndies,India,Kochi,WestIndies
3532,2014-10-10,Pakistan,Australia,Dubai (DSC),Australia
3533,2014-10-11,WestIndies,India,Delhi,India
3534,2014-10-12,Pakistan,Australia,Abu Dhabi,Australia
3534,2014-10-14,WestIndies,India,Visakhapatnam,n/r
3535,2014-10-17,WestIndies,India,Dharamsala,India
3535,2014-10-20,WestIndies,India,Kolkata,n/r
3536,2014-10-21,SouthAfrica,New Zealand,Mount Maunganui,SouthAfrica
3537,2014-10-24,SouthAfrica,New Zealand,Mount Maunganui,SouthAfrica
3538,2014-10-27,SouthAfrica,New Zealand,Hamilton,n/r
3539,2014-11-02,SriLanka,India,Cuttack,India
3540,2014-11-06,SriLanka,India,Ahmedabad,India
3543,2014-11-09,SriLanka,India,Hyderabad (Deccan),India
3544,2014-11-13,SriLanka,India,Kolkata,India
3545,2014-11-14,SouthAfrica,Australia,Perth,Australia
3546,2014-11-16,SouthAfrica,Australia,Perth,SouthAfrica
3547,2014-11-16,SriLanka,India,Ranchi,India
3548,2014-11-19,SouthAfrica,Australia,Canberra,Australia
3549,2014-11-21,SouthAfrica,Australia,Melbourne,Australia
3550,2014-11-21,Bangladesh,Zimbabwe,Chattogram,Bangladesh
3551,2014-11-23,SouthAfrica,Australia,Sydney,Australia
3552,2014-11-23,Bangladesh,Zimbabwe,Chattogram,Bangladesh
3553,2014-11-26,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3554,2014-11-26,SriLanka,England,Colombo (RPS),SriLanka
3555,2014-11-28,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3556,2014-11-28,Afghanistan,U.A.E.,ICCA Dubai,U.A.E.
3557,2014-11-29,SriLanka,England,Colombo (RPS),SriLanka
3558,2014-11-30,Afghanistan,U.A.E.,ICCA Dubai,U.A.E.
3559,2014-12-01,Bangladesh,Zimbabwe,Dhaka,Bangladesh
3560,2014-12-02,Afghanistan,U.A.E.,ICCA Dubai,Afghanistan
3561,2014-12-03,SriLanka,England,Hambantota,England
3562,2014-12-04,Afghanistan,U.A.E.,ICCA Dubai,U.A.E.
3563,2014-12-07,SriLanka,England,Colombo (RPS),SriLanka
3564,2014-12-08,Pakistan,New Zealand,Dubai (DSC),Pakistan
3565,2014-12-10,SriLanka,England,Pallekele,England
3566,2014-12-12,Pakistan,New Zealand,Sharjah,New Zealand
3567,2014-12-13,SriLanka,England,Pallekele,SriLanka
3568,2014-12-14,Pakistan,New Zealand,Sharjah,Pakistan
3569,2014-12-16,SriLanka,England,Colombo (RPS),SriLanka
3570,2014-12-17,Pakistan,New Zealand,Abu Dhabi,New Zealand
3571,2014-12-19,Pakistan,New Zealand,Abu Dhabi,New Zealand
3572,2015-01-08,Afghanistan,Scotland,ICCA Dubai,Afghanistan
3573,2015-01-10,Afghanistan,Ireland,Dubai (DSC),Ireland
3574,2015-01-11,SriLanka,New Zealand,Christchurch,New Zealand
3576,2015-01-14,Afghanistan,Scotland,Abu Dhabi,Scotland
3577,2015-01-15,SriLanka,New Zealand,Hamilton,SriLanka
3578,2015-01-16,England,Australia,Sydney,Australia
3579,2015-01-16,WestIndies,South Africa,Durban,South Africa
3580,2015-01-17,SriLanka,New Zealand,Auckland,n/r
3581,2015-01-17,Afghanistan,Ireland,Dubai (DSC),Afghanistan
3582,2015-01-18,India,Australia,Melbourne,Australia
3583,2015-01-18,WestIndies,South Africa,Johannesburg,South Africa
3585,2015-01-20,SriLanka,New Zealand,Nelson,New Zealand
3586,2015-01-20,India,England,Brisbane,England
3587,2015-01-21,WestIndies,South Africa,East London,South Africa
3588,2015-01-23,SriLanka,New Zealand,Dunedin,New Zealand
3589,2015-01-23,England,Australia,Hobart,Australia
3590,2015-01-25,SriLanka,New Zealand,Dunedin,New Zealand
3591,2015-01-25,WestIndies,South Africa,Port Elizabeth,WestIndies
3592,2015-01-26,India,Australia,Sydney,n/r
3593,2015-01-28,WestIndies,South Africa,Centurion,South Africa
3594,2015-01-29,SriLanka,New Zealand,Wellington,SriLanka
3595,2015-01-30,India,England,Perth,England
3596,2015-01-31,Pakistan,New Zealand,Wellington,New Zealand
3597,2015-02-01,England,Australia,Perth,Australia
3598,2015-02-03,Pakistan,New Zealand,Napier,New Zealand
3599,2015-02-14,SriLanka,New Zealand,Christchurch,New Zealand
3600,2015-02-14,England,Australia,Melbourne,Australia
3601,2015-02-15,SouthAfrica,Zimbabwe,Hamilton,SouthAfrica
3602,2015-02-15,Pakistan,India,Adelaide,India
3603,2015-02-16,WestIndies,Ireland,Nelson,Ireland
3604,2015-02-17,Newzealad,Scotland,Dunedin,Newzealad
3605,2015-02-18,Bangladesh,Afghanistan,Canberra,Bangladesh
3607,2015-02-20,Newzealad,England,Wellington,Newzealad
3608,2015-02-21,WestIndies,Pakistan,Christchurch,WestIndies
3608,2015-02-21,Bangladesh,Australia,Brisbane,n/r
3609,2015-02-22,SriLanka,Afghanistan,Dunedin,SriLanka
